Make,Type,DiaInMm,LengthInMm,PartNo
1 SINGLE HOLE,NA,7,330,1HP07330
1 SINGLE HOLE,NA,8,50,1HP08050
1 SINGLE HOLE,NA,8,60,1HP08060
1 SINGLE HOLE,NA,8,70,1HP08070
1 SINGLE HOLE,NA,8,80,1HP08080
1 SINGLE HOLE,NA,8,90,1HP08090
1 SINGLE HOLE,NA,8,100,1HP08100
1 SINGLE HOLE,NA,8,110,1HP08110
1 SINGLE HOLE,NA,8,120,1HP08120
1 SINGLE HOLE,NA,8,130,1HP08130
1 SINGLE HOLE,NA,8,140,1HP08140
1 SINGLE HOLE,NA,8,150,1HP08150
1 SINGLE HOLE,NA,8,160,1HP08160
1 SINGLE HOLE,NA,8,170,1HP08170
1 SINGLE HOLE,NA,8,180,1HP08180
1 SINGLE HOLE,NA,8,190,1HP08190
1 SINGLE HOLE,NA,8,200,1HP08200
1 SINGLE HOLE,NA,8,210,1HP08210
1 SINGLE HOLE,NA,8,220,1HP08220
1 SINGLE HOLE,NA,8,230,1HP08230
1 SINGLE HOLE,NA,8,240,1HP08240
1 SINGLE HOLE,NA,8,250,1HP08250
1 SINGLE HOLE,NA,8,330,1HP08330
1 SINGLE HOLE,NA,9,50,1HP09050
1 SINGLE HOLE,NA,9,60,1HP09060
1 SINGLE HOLE,NA,9,70,1HP09070
1 SINGLE HOLE,NA,9,80,1HP09080
1 SINGLE HOLE,NA,9,90,1HP09090
1 SINGLE HOLE,NA,9,100,1HP09100
1 SINGLE HOLE,NA,9,110,1HP09110
1 SINGLE HOLE,NA,9,120,1HP09120
1 SINGLE HOLE,NA,9,130,1HP09130
1 SINGLE HOLE,NA,9,140,1HP09140
1 SINGLE HOLE,NA,9,150,1HP09150
1 SINGLE HOLE,NA,9,160,1HP09160
1 SINGLE HOLE,NA,9,170,1HP09170
1 SINGLE HOLE,NA,9,180,1HP09180
1 SINGLE HOLE,NA,9,190,1HP09190
1 SINGLE HOLE,NA,9,200,1HP09200
1 SINGLE HOLE,NA,9,210,1HP09210
1 SINGLE HOLE,NA,9,220,1HP09220
1 SINGLE HOLE,NA,9,230,1HP09230
1 SINGLE HOLE,NA,9,240,1HP09240
1 SINGLE HOLE,NA,9,250,1HP09250
1 SINGLE HOLE,NA,9,330,1HP09330
1 SINGLE HOLE,NA,10,50,1HP10050
1 SINGLE HOLE,NA,10,60,1HP10060
1 SINGLE HOLE,NA,10,70,1HP10070
1 SINGLE HOLE,NA,10,80,1HP10080
1 SINGLE HOLE,NA,10,90,1HP10090
1 SINGLE HOLE,NA,10,100,1HP10100
1 SINGLE HOLE,NA,10,110,1HP10110
1 SINGLE HOLE,NA,10,120,1HP10120
1 SINGLE HOLE,NA,10,130,1HP10130
1 SINGLE HOLE,NA,10,140,1HP10140
1 SINGLE HOLE,NA,10,150,1HP10150
1 SINGLE HOLE,NA,10,160,1HP10160
1 SINGLE HOLE,NA,10,170,1HP10170
1 SINGLE HOLE,NA,10,180,1HP10180
1 SINGLE HOLE,NA,10,190,1HP10190
1 SINGLE HOLE,NA,10,200,1HP10200
1 SINGLE HOLE,NA,10,210,1HP10210
1 SINGLE HOLE,NA,10,220,1HP10220
1 SINGLE HOLE,NA,10,230,1HP10230
1 SINGLE HOLE,NA,10,240,1HP10240
1 SINGLE HOLE,NA,10,250,1HP10250
1 SINGLE HOLE,NA,10,330,1HP10330

2 HOLE HELIX,30 Deg Helix,6,50,2HH06050
2 HOLE HELIX,30 Deg Helix,6,60,2HH06060
2 HOLE HELIX,30 Deg Helix,6,70,2HH06070
2 HOLE HELIX,30 Deg Helix,6,80,2HH06080
2 HOLE HELIX,30 Deg Helix,6,90,2HH06090
2 HOLE HELIX,30 Deg Helix,6,100,2HH06100
2 HOLE HELIX,30 Deg Helix,6,110,2HH06110
2 HOLE HELIX,30 Deg Helix,6,120,2HH06120
2 HOLE HELIX,30 Deg Helix,6,130,2HH06130
2 HOLE HELIX,30 Deg Helix,6,140,2HH06140
